Asset,Weight
AAPL,2.7838674077982047e-17
ACN,3.1886278973403723e-17
AMP,0.0
AMT,0.0827071191701265
ARE,0.1093252396768648
ASGN,3.8727737148410756e-17
ASIX,3.1940911948631697e-18
BCO,0.0
CBT,0.0
CC,6.738070432900497e-17
CDNS,8.444359217236004e-18
CRM,0.0
EBAY,0.150575239997303
FIVE,0.0
FN,0.0336046568311187
FR,0.0
FTNT,0.0043705318402726
HOLX,0.0836723654831135
JBHT,0.0926617653571605
KIM,0.0
MATX,1.0613826719767744e-17
MHK,9.036118274547965e-18
NKE,0.0348279902840165
NVDA,0.0
ON,0.0
SPG,0.0
STM,0.0
TEL,0.0
WDAY,1.89577173012132e-18
WM,0.4082550913600236
