Asset,Weight
AAPL,0.1696105354012468
ACN,0.0
AMP,2.188529847797771e-16
AMT,0.1132773307980779
ARE,3.46070557193795e-16
ASGN,0.0
ASIX,6.230638834731074e-16
BCO,8.670906874452822e-17
CBT,0.0
CC,1.7257575681113314e-16
CDNS,0.1228934322027633
CRM,0.0
EBAY,8.796945377004262e-17
FIVE,0.0604150227901929
FN,1.4797326775353723e-16
FR,1.4659090998361823e-16
FTNT,0.2934140556474021
HOLX,0.0
JBHT,1.324827292141506e-16
KIM,3.74998426408424e-17
MATX,0.0189321661191015
MHK,0.0
NKE,0.0092607069472599
NVDA,0.0660965366945617
ON,0.0
SPG,0.0
STM,0.0
TEL,1.2398529468729547e-16
WDAY,0.0
WM,0.146100213399394
