Asset,Weight
AAPL,0.1466653193190094
ACN,0.1012326063456252
AMP,0.0814716834591878
AMT,0.045059551435481
ARE,0.0458609657999418
ASGN,4.1335207826009857e-19
ASIX,0.0132969085357569
BCO,0.013010407894578
CBT,0.0291847786584372
CC,1.7482760031328763e-18
CDNS,0.0339165057209921
CRM,0.0442624177338046
EBAY,0.0373497342355172
FIVE,0.0110914764817702
FN,0.007184668949273
FR,0.0255584304694246
FTNT,0.0051037477349355
HOLX,0.0418396981545396
JBHT,0.042762267484979
KIM,0.0003509509215628
MATX,0.011238690104939
MHK,0.0119880863055577
NKE,0.0370626367172933
NVDA,0.0292649612009706
ON,0.0
SPG,0.0141282210790669
STM,0.0049751634089505
TEL,0.0347868862049655
WDAY,0.0
WM,0.1313532356434396
