Asset,Weight
AAPL,0.1691976641583077
ACN,0.1146966873625137
AMP,0.0618490501825494
AMT,0.0686156199150163
ARE,0.0025273331391466
ASGN,0.0057237514205284
ASIX,0.0199290669627023
BCO,0.0090777264740542
CBT,0.0
CC,0.0
CDNS,0.0648210046284999
CRM,0.0007920125563181
EBAY,0.0211391412263489
FIVE,0.0412972058387359
FN,0.0046564933842395
FR,0.0437732293733887
FTNT,0.058060934037656
HOLX,0.0
JBHT,0.0284913275515896
KIM,0.0019406440592158
MATX,0.0224192671695309
MHK,0.0
NKE,0.0507801524982722
NVDA,0.0500256113591153
ON,0.0104529999393698
SPG,0.0
STM,0.0
TEL,0.0133181734196896
WDAY,0.0
WM,0.1364149033432102
