Asset,Weight
AAPL,0.167323837887213
ACN,0.1139649772242192
AMP,0.0548776714707123
AMT,0.0689092065429629
ARE,0.0047479556092062
ASGN,0.0048874774756784
ASIX,0.0199470663744904
BCO,0.0089243385057257
CBT,0.0
CC,0.0
CDNS,0.0639463456329465
CRM,0.000440274289117
EBAY,0.0232376778349689
FIVE,0.0406333578999939
FN,0.0054175709811779
FR,0.042904874200491
FTNT,0.0588857009440561
HOLX,8.246510765211973e-05
JBHT,0.0304974898531215
KIM,0.0021324968600643
MATX,0.0226058241002449
MHK,0.0
NKE,0.0513221109447597
NVDA,0.0483704582435424
ON,0.0097875467458984
SPG,0.0
STM,0.0
TEL,0.0144413644105569
WDAY,0.0
WM,0.1417119108611992
